summonerId,summonerLevel,tier,rank,leaguePoints,plays,wins,mostPositionId,mostPosition,mostChampionIds
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,484,CHALLENGER,I,1955,497,292,3,MIDDLE,"[84, 777, 126, 268, 517]"
D7ro7TcLhbnTRLUeHHb41blBHfTNt3x8YgIHLNmVDfYguBI,575,CHALLENGER,I,1916,392,235,3,MIDDLE,"[777, 126, 897, 517, 268]"
Z1GOBrAWpxjsWHL6bwPtMCEnGuf8a78qUMOiBe5QQNG65Vw,947,CHALLENGER,I,1872,770,421,2,JUNGLE,"[59, 64, 121, 111, 234]"
kzGwsF-itPa18MXfCjyfnZ3EnHt6wSsI1s78mqJoh846OCEI,500,CHALLENGER,I,1639,995,537,5,UTILITY,"[497, 526, 12, 111, 888]"
QiAwUQ8L4_vJsYBSChUlf7--tKcSHIS6ikKzqTqwG19LX8k,346,CHALLENGER,I,1619,582,333,2,JUNGLE,"[64, 76, 234, 78, 59]"
UsxhETMatCJh9r2bJW8t78TjmxD9D9kN8BL1D1QHoFbofv4,467,CHALLENGER,I,1588,466,268,1,TOP,"[68, 79, 58, 897, 24]"
SeTDZST9YGJHXr3qKVaAxpHSstHX3ZvM_yCfwkw8wa4RtMU,647,CHALLENGER,I,1585,840,458,4,BOTTOM,"[145, 429, 119, 895, 498]"
EaDIgYz3MRztsJUTNILO-FTS0o2-6rfgP6ZwhuCe-N2c5Q8,479,CHALLENGER,I,1576,499,285,5,UTILITY,"[12, 497, 526, 888, 145]"
_xeuY0cBGKIrsnwx6IoEewzcDrCeAyAPdC19Nyb4E-Cg_qNFf0igEcYTpg,102,CHALLENGER,I,1568,455,275,2,JUNGLE,"[64, 104, 59, 5, 53]"
43Ivr_zZJo_ehAVDx5JPAGgOpLU94i9QEJrXMdHd6Uts07o,639,CHALLENGER,I,1544,596,328,3,MIDDLE,"[126, 61, 134, 84, 777]"
